OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime,Date,Week,Month,DayOfWeek,AQI_Level,Pollen_Level
85,53,Moderate,PM2.5,0,Unknown,Not on file,1/10/2025 6:00,1/10/2025,2,1,Friday,Moderate,Low
86,55,Moderate,PM2.5,0,Unknown,Not on file,1/9/2025 6:00,1/9/2025,2,1,Thursday,Moderate,Low
87,50,Good,PM2.5,0,Unknown,Not on file,1/8/2025 6:00,1/8/2025,2,1,Wednesday,Good,Low
88,50,Good,PM2.5,0,Unknown,Not on file,1/7/2025 6:00,1/7/2025,2,1,Tuesday,Good,Low
89,50,Good,PM2.5,0,Unknown,Not on file,1/6/2025 6:00,1/6/2025,2,1,Monday,Good,Low
90,50,Good,PM2.5,0,Unknown,Not on file,1/5/2025 6:00,1/5/2025,1,1,Sunday,Good,Low
91,50,Good,PM2.5,0,Unknown,Not on file,1/4/2025 6:00,1/4/2025,1,1,Saturday,Good,Low
92,50,Good,PM2.5,0,Unknown,Not on file,1/3/2025 6:00,1/3/2025,1,1,Friday,Good,Low
93,51,Moderate,PM2.5,0,Unknown,Not on file,1/2/2025 6:00,1/2/2025,1,1,Thursday,Moderate,Low
94,50,Good,PM2.5,0,Unknown,Not on file,1/1/2025 6:00,1/1/2025,1,1,Wednesday,Good,Low
95,50,Good,PM2.5,0,Unknown,Not on file,12/31/2024 6:00,12/31/2024,1,12,Tuesday,Good,Low
96,44,Good,PM2.5,0,Unknown,Not on file,12/30/2024 6:00,12/30/2024,1,12,Monday,Good,Low
97,44,Good,PM2.5,0,Unknown,Not on file,12/29/2024 6:00,12/29/2024,52,12,Sunday,Good,Low
98,50,Good,PM2.5,0,Unknown,Not on file,12/28/2024 6:00,12/28/2024,52,12,Saturday,Good,Low
99,50,Good,PM2.5,0,Unknown,Not on file,12/27/2024 6:00,12/27/2024,52,12,Friday,Good,Low
100,53,Moderate,PM2.5,0,Unknown,Not on file,12/26/2024 6:00,12/26/2024,52,12,Thursday,Moderate,Low
101,51,Moderate,PM2.5,0,Unknown,Not on file,12/25/2024 6:00,12/25/2024,52,12,Wednesday,Moderate,Low
102,51,Moderate,PM2.5,0,Unknown,Not on file,12/24/2024 6:00,12/24/2024,52,12,Tuesday,Moderate,Low
103,50,Good,PM2.5,0,Unknown,Not on file,12/23/2024 6:00,12/23/2024,52,12,Monday,Good,Low
104,50,Good,PM2.5,0,Unknown,Not on file,12/22/2024 6:00,12/22/2024,51,12,Sunday,Good,Low
105,50,Good,PM2.5,0,Unknown,Not on file,12/21/2024 6:00,12/21/2024,51,12,Saturday,Good,Low
106,51,Moderate,PM2.5,0,Unknown,Not on file,12/20/2024 6:00,12/20/2024,51,12,Friday,Moderate,Low
107,49,Good,PM2.5,0,Unknown,Not on file,12/19/2024 6:00,12/19/2024,51,12,Thursday,Good,Low
108,50,Good,PM2.5,0,Unknown,Not on file,12/18/2024 6:00,12/18/2024,51,12,Wednesday,Good,Low
109,44,Good,PM2.5,0,Unknown,Not on file,12/17/2024 6:00,12/17/2024,51,12,Tuesday,Good,Low
110,50,Good,PM2.5,0,Unknown,Not on file,12/16/2024 6:00,12/16/2024,51,12,Monday,Good,Low
111,50,Good,PM2.5,0,Unknown,Not on file,12/15/2024 6:00,12/15/2024,50,12,Sunday,Good,Low
112,53,Moderate,PM2.5,0,Unknown,Not on file,12/14/2024 6:00,12/14/2024,50,12,Saturday,Moderate,Low
113,50,Good,PM2.5,0,Unknown,Not on file,12/13/2024 6:00,12/13/2024,50,12,Friday,Good,Low
114,44,Good,PM2.5,0,Unknown,Not on file,12/12/2024 6:00,12/12/2024,50,12,Thursday,Good,Low
115,44,Good,PM2.5,0,Unknown,Not on file,12/11/2024 6:00,12/11/2024,50,12,Wednesday,Good,Low
116,44,Good,PM2.5,0,Unknown,Not on file,12/10/2024 6:00,12/10/2024,50,12,Tuesday,Good,Low
117,50,Good,PM2.5,0,Unknown,Not on file,12/9/2024 6:00,12/9/2024,50,12,Monday,Good,Low
118,51,Moderate,PM2.5,0,Unknown,Not on file,12/8/2024 6:00,12/8/2024,49,12,Sunday,Moderate,Low
119,51,Moderate,PM2.5,0,Unknown,Not on file,12/7/2024 6:00,12/7/2024,49,12,Saturday,Moderate,Low
120,49,Good,PM2.5,0,Unknown,Not on file,12/6/2024 6:00,12/6/2024,49,12,Friday,Good,Low
121,49,Good,PM2.5,0,Unknown,Not on file,12/5/2024 6:00,12/5/2024,49,12,Thursday,Good,Low
122,51,Moderate,PM2.5,0,Unknown,Not on file,12/4/2024 6:00,12/4/2024,49,12,Wednesday,Moderate,Low
123,51,Moderate,PM2.5,0,Unknown,Not on file,12/3/2024 6:00,12/3/2024,49,12,Tuesday,Moderate,Low
124,50,Good,PM2.5,0,Unknown,Not on file,12/2/2024 6:00,12/2/2024,49,12,Monday,Good,Low
125,50,Good,PM2.5,0,Unknown,Not on file,12/1/2024 6:00,12/1/2024,48,12,Sunday,Good,Low
126,50,Good,PM2.5,0,Unknown,Not on file,11/30/2024 6:00,11/30/2024,48,11,Saturday,Good,Low
127,52,Moderate,PM2.5,0,Unknown,Not on file,11/29/2024 6:00,11/29/2024,48,11,Friday,Moderate,Low
128,51,Moderate,PM2.5,0,Ragweed,Slight,11/28/2024 6:00,11/28/2024,48,11,Thursday,Moderate,Low
129,51,Moderate,PM2.5,0,Ragweed,Slight,11/27/2024 6:00,11/27/2024,48,11,Wednesday,Moderate,Low
130,51,Moderate,PM2.5,0,Ragweed,Slight,11/26/2024 6:00,11/26/2024,48,11,Tuesday,Moderate,Low
131,50,Good,PM2.5,1,Ragweed,Slight,11/25/2024 6:00,11/25/2024,48,11,Monday,Good,Low
132,50,Good,PM2.5,1,Ragweed,Slight,11/24/2024 6:00,11/24/2024,47,11,Sunday,Good,Low
133,33,Good,PM2.5,0,Ragweed,Slight,11/23/2024 6:00,11/23/2024,47,11,Saturday,Good,Low
134,28,Good,PM2.5,0,Ragweed,Slight,11/22/2024 6:00,11/22/2024,47,11,Friday,Good,Low
135,39,Good,PM2.5,1,Ragweed,Slight,11/21/2024 6:00,11/21/2024,47,11,Thursday,Good,Low
136,39,Good,PM2.5,1,Ragweed,Slight,11/20/2024 6:00,11/20/2024,47,11,Wednesday,Good,Low
137,53,Moderate,PM2.5,0,Ragweed,Slight,11/19/2024 6:00,11/19/2024,47,11,Tuesday,Moderate,Low
138,57,Moderate,PM2.5,1,Ragweed,Slight,11/18/2024 6:00,11/18/2024,47,11,Monday,Moderate,Low
139,50,Good,PM2.5,1,Ragweed,Slight,11/17/2024 6:00,11/17/2024,46,11,Sunday,Good,Low
140,50,Good,PM2.5,0,Ragweed,Slight,11/16/2024 6:00,11/16/2024,46,11,Saturday,Good,Low
141,52,Moderate,PM2.5,1,Ragweed,Slight,11/15/2024 6:00,11/15/2024,46,11,Friday,Moderate,Low
142,44,Good,PM2.5,0,Ragweed,Slight,11/14/2024 6:00,11/14/2024,46,11,Thursday,Good,Low
143,50,Good,PM2.5,0,Ragweed,Slight,11/13/2024 6:00,11/13/2024,46,11,Wednesday,Good,Low
144,50,Good,PM2.5,1,Ragweed,Slight,11/12/2024 6:00,11/12/2024,46,11,Tuesday,Good,Low
145,50,Good,PM2.5,0,Ragweed,Slight,11/11/2024 6:00,11/11/2024,46,11,Monday,Good,Low
146,50,Good,PM2.5,0,Ragweed,Slight,11/10/2024 6:00,11/10/2024,45,11,Sunday,Good,Low
147,49,Good,PM2.5,0,Ragweed,Slight,11/9/2024 6:00,11/9/2024,45,11,Saturday,Good,Low
148,50,Good,PM2.5,1,Ragweed,Slight,11/8/2024 6:00,11/8/2024,45,11,Friday,Good,Low
149,47,Good,PM2.5,0,Ragweed,Slight,11/7/2024 6:00,11/7/2024,45,11,Thursday,Good,Low
150,47,Good,PM2.5,0,Ragweed,Slight,11/6/2024 6:00,11/6/2024,45,11,Wednesday,Good,Low
151,44,Good,PM2.5,2,Ragweed,Slight,11/5/2024 6:00,11/5/2024,45,11,Tuesday,Good,Low
152,51,Moderate,PM2.5,2,Ragweed,Slight,11/4/2024 6:00,11/4/2024,45,11,Monday,Moderate,Low
153,51,Moderate,PM2.5,2,Ragweed,Slight,11/3/2024 5:00,11/3/2024,44,11,Sunday,Moderate,Low
154,53,Moderate,PM2.5,1,Ragweed,Slight,11/2/2024 5:00,11/2/2024,44,11,Saturday,Moderate,Low
155,50,Good,PM2.5,2,Ragweed,Slight,11/1/2024 5:00,11/1/2024,44,11,Friday,Good,Low
156,50,Good,PM2.5,2,Ragweed,Slight,10/31/2024 5:00,10/31/2024,44,10,Thursday,Good,Low
157,50,Good,PM2.5,2,Ragweed,Slight,10/30/2024 5:00,10/30/2024,44,10,Wednesday,Good,Low
158,51,Moderate,PM2.5,2,Ragweed,Slight,10/29/2024 5:00,10/29/2024,44,10,Tuesday,Moderate,Low
159,50,Good,PM2.5,1,Ragweed,Slight,10/28/2024 5:00,10/28/2024,44,10,Monday,Good,Low
160,50,Good,PM2.5,1,Ragweed,Slight,10/27/2024 5:00,10/27/2024,43,10,Sunday,Good,Low
161,51,Moderate,PM2.5,2,Ragweed,Slight,10/26/2024 5:00,10/26/2024,43,10,Saturday,Moderate,Low
162,51,Moderate,PM2.5,2,Ragweed,Slight,10/25/2024 5:00,10/25/2024,43,10,Friday,Moderate,Low
163,50,Good,PM2.5,2,Ragweed,Slight,10/24/2024 5:00,10/24/2024,43,10,Thursday,Good,Low
164,51,Moderate,PM2.5,2,Ragweed,Slight,10/23/2024 5:00,10/23/2024,43,10,Wednesday,Moderate,Low
165,58,Moderate,PM2.5,2,Ragweed,Slight,10/22/2024 5:00,10/22/2024,43,10,Tuesday,Moderate,Low
166,58,Moderate,PM2.5,2,Ragweed,Slight,10/21/2024 5:00,10/21/2024,43,10,Monday,Moderate,Low
167,58,Moderate,PM2.5,2,Ragweed,Slight,10/20/2024 5:00,10/20/2024,42,10,Sunday,Moderate,Low
168,56,Moderate,PM2.5,2,Ragweed,Slight,10/19/2024 5:00,10/19/2024,42,10,Saturday,Moderate,Low
169,51,Moderate,PM2.5,2,Ragweed,Slight,10/18/2024 5:00,10/18/2024,42,10,Friday,Moderate,Low
170,50,Good,PM2.5,2,Ragweed,Slight,10/17/2024 5:00,10/17/2024,42,10,Thursday,Good,Low
171,42,Good,PM2.5,2,Ragweed,Slight,10/16/2024 5:00,10/16/2024,42,10,Wednesday,Good,Low
172,43,Good,PM2.5,2,Ragweed,Slight,10/15/2024 5:00,10/15/2024,42,10,Tuesday,Good,Low
173,49,Good,PM2.5,3,Ragweed,Slight,10/14/2024 5:00,10/14/2024,42,10,Monday,Good,Low
174,51,Moderate,PM2.5,4,Ragweed,Slight,10/13/2024 5:00,10/13/2024,41,10,Sunday,Moderate,Low
175,51,Moderate,PM2.5,3,Ragweed,Slight,10/12/2024 5:00,10/12/2024,41,10,Saturday,Moderate,Low
176,51,Moderate,PM2.5,3,Ragweed,Slight,10/11/2024 5:00,10/11/2024,41,10,Friday,Moderate,Low
177,50,Good,PM2.5,4,Elm, Grass,10/10/2024 5:00,10/10/2024,41,10,Thursday,Good,Low
178,50,Good,PM2.5,4,Elm, Grass,10/9/2024 5:00,10/9/2024,41,10,Wednesday,Good,Low
179,50,Good,PM2.5,4,Elm, Grass,10/8/2024 5:00,10/8/2024,41,10,Tuesday,Good,Low
180,53,Moderate,PM2.5,4,Elm, Grass,10/7/2024 5:00,10/7/2024,41,10,Monday,Moderate,Low
181,53,Moderate,PM2.5,4,Elm, Grass,10/6/2024 5:00,10/6/2024,40,10,Sunday,Moderate,Low
182,53,Moderate,PM2.5,4,Elm, Grass,10/5/2024 5:00,10/5/2024,40,10,Saturday,Moderate,Low
183,58,Moderate,PM2.5,5,Elm, Grass,10/4/2024 5:00,10/4/2024,40,10,Friday,Moderate,Low
184,50,Good,PM2.5,5,Elm, Grass,10/3/2024 5:00,10/3/2024,40,10,Thursday,Good,Low
185,52,Moderate,PM2.5,5,Elm, Grass,10/2/2024 5:00,10/2/2024,40,10,Wednesday,Moderate,Low
186,49,Good,PM2.5,5,Elm, Grass,10/1/2024 5:00,10/1/2024,40,10,Tuesday,Good,Low
187,47,Good,PM2.5,5,Elm, Grass,9/30/2024 5:00,9/30/2024,40,9,Monday,Good,Low
188,46,Good,PM2.5,1,Elm, Grass,9/29/2024 5:00,9/29/2024,39,9,Sunday,Good,Low
189,44,Good,PM2.5,0,Elm, Grass,9/28/2024 5:00,9/28/2024,39,9,Saturday,Good,Low
190,42,Good,PM2.5,0,Elm, Grass,9/27/2024 5:00,9/27/2024,39,9,Friday,Good,Low
191,47,Good,PM2.5,5,Elm, Grass,9/26/2024 5:00,9/26/2024,39,9,Thursday,Good,Low
192,51,Moderate,PM2.5,1,Elm, Grass,9/25/2024 5:00,9/25/2024,39,9,Wednesday,Moderate,Low
193,50,Good,PM2.5,4,Elm, Grass,9/24/2024 5:00,9/24/2024,39,9,Tuesday,Good,Low
194,51,Moderate,PM2.5,5,Elm, Grass,9/23/2024 5:00,9/23/2024,39,9,Monday,Moderate,Low
195,50,Good,PM2.5,7,Elm, Grass,9/22/2024 5:00,9/22/2024,38,9,Sunday,Good,Moderate
196,50,Good,PM2.5,8,Elm, Grass,9/21/2024 5:00,9/21/2024,38,9,Saturday,Good,Moderate
197,61,Moderate,Ozone 8-hr,8,Elm, Grass,9/20/2024 5:00,9/20/2024,38,9,Friday,Moderate,Moderate
198,51,Moderate,PM2.5,8,Grass, Ragweed,9/19/2024 5:00,9/19/2024,38,9,Thursday,Moderate,Moderate
199,46,Good,Ozone 8-hr,8,Grass, Ragweed,9/18/2024 5:00,9/18/2024,38,9,Wednesday,Good,Moderate
200,44,Good,PM2.5,8,Grass, Ragweed,9/17/2024 5:00,9/17/2024,38,9,Tuesday,Good,Moderate
201,46,Good,PM2.5,9,Grass, Ragweed,9/16/2024 5:00,9/16/2024,38,9,Monday,Good,Moderate
202,44,Good,PM2.5,8,Grass, Ragweed,9/15/2024 5:00,9/15/2024,37,9,Sunday,Good,Moderate
203,47,Good,PM2.5,3,Grass, Ragweed,9/14/2024 5:00,9/14/2024,37,9,Saturday,Good,Low
204,47,Good,PM2.5,1,Grass, Ragweed,9/13/2024 5:00,9/13/2024,37,9,Friday,Good,Low
205,50,Good,PM2.5,7,Grass, Ragweed,9/12/2024 5:00,9/12/2024,37,9,Thursday,Good,Moderate
206,51,Moderate,Ozone 8-hr,10,Grass, Ragweed,9/11/2024 5:00,9/11/2024,37,9,Wednesday,Moderate,Moderate
207,67,Moderate,Ozone 8-hr,9,Grass, Ragweed,9/10/2024 5:00,9/10/2024,37,9,Tuesday,Moderate,Moderate
208,54,Moderate,Ozone 8-hr,9,Grass, Ragweed,9/9/2024 5:00,9/9/2024,37,9,Monday,Moderate,Moderate
209,48,Good,Ozone 8-hr,10,Grass, Ragweed,9/8/2024 5:00,9/8/2024,36,9,Sunday,Good,Moderate
210,48,Good,Ozone 8-hr,10,Grass, Ragweed,9/7/2024 5:00,9/7/2024,36,9,Saturday,Good,Moderate
211,61,Moderate,Ozone 8-hr,10,Grass, Ragweed,9/6/2024 5:00,9/6/2024,36,9,Friday,Moderate,Moderate
212,51,Moderate,Ozone 8-hr,10,Grass, Ragweed,9/5/2024 5:00,9/5/2024,36,9,Thursday,Moderate,Moderate
213,50,Good,PM2.5,10,Grass, Ragweed,9/4/2024 5:00,9/4/2024,36,9,Wednesday,Good,Moderate
214,48,Good,Ozone 8-hr,11,Grass, Ragweed,9/3/2024 5:00,9/3/2024,36,9,Tuesday,Good,Moderate
216,50,Good,PM2.5,6,Grass, Ragweed,9/1/2024 5:00,9/1/2024,35,9,Sunday,Good,Moderate
217,87,Moderate,Ozone 8-hr,10,Grass, Ragweed,8/30/2024 5:00,8/30/2024,35,8,Friday,Moderate,Moderate
218,101,Unhealthy for Sensitive Groups,Ozone 8-hr,11,Grass, Ragweed,8/29/2024 5:00,8/29/2024,35,8,Thursday,Unhealthy (Sensitive),Moderate
219,101,Unhealthy for Sensitive Groups,Ozone 8-hr,11,Grass, Ragweed,8/28/2024 5:00,8/28/2024,35,8,Wednesday,Unhealthy (Sensitive),Moderate
220,112,Unhealthy for Sensitive Groups,Ozone 8-hr,10,Grass, Ragweed,8/27/2024 5:00,8/27/2024,35,8,Tuesday,Unhealthy (Sensitive),Moderate
221,105,Unhealthy for Sensitive Groups,Ozone 8-hr,10,Grass, Ragweed,8/26/2024 5:00,8/26/2024,35,8,Monday,Unhealthy (Sensitive),Moderate
222,84,Moderate,Ozone 8-hr,10,Grass, Ragweed,8/25/2024 5:00,8/25/2024,34,8,Sunday,Moderate,Moderate
223,84,Moderate,Ozone 8-hr,10,Grass, Ragweed,8/24/2024 5:00,8/24/2024,34,8,Saturday,Moderate,Moderate
224,84,Moderate,Ozone 8-hr,10,Grass, Ragweed,8/23/2024 5:00,8/23/2024,34,8,Friday,Moderate,Moderate
225,54,Moderate,Ozone 8-hr,9,Grass, Ragweed,8/22/2024 5:00,8/22/2024,34,8,Thursday,Moderate,Moderate
226,51,Moderate,PM2.5,9,Grass, Ragweed,8/21/2024 5:00,8/21/2024,34,8,Wednesday,Moderate,Moderate
227,58,Moderate,PM2.5,9,Grass, Ragweed,8/20/2024 5:00,8/20/2024,34,8,Tuesday,Moderate,Moderate
228,50,Good,PM2.5,9,Goldenrod, Ragweed,8/19/2024 5:00,8/19/2024,34,8,Monday,Good,Moderate
229,50,Good,PM2.5,8,Grass, Ragweed,8/18/2024 5:00,8/18/2024,33,8,Sunday,Good,Moderate
